Index,Date,Round,Time,Connectivity Index,Transect,Transect_location_GPS,Air_temperature,Wind_speed,Group,Species,AnonymSite
0,14/07/2021,1,PM,17.5,1,SY9333793767,25.6,3,Butterfly,Marbled_white,SiteA
1,14/07/2021,1,PM,17.5,2,SY9336393815,25.6,0.7,Butterfly,Meadow_brown,SiteA
2,14/07/2021,1,PM,17.5,3,SY9340693840,27,2.4,Butterfly,Meadow_brown,SiteA
3,14/07/2021,1,PM,17.5,3,SY9340693840,27,2.4,Hoverfly,Cannot_ID_hoverfly,SiteA
4,14/07/2021,1,PM,17.5,4,SY9342593864,26.6,1.8,Butterfly,Meadow_brown,SiteA
5,14/07/2021,1,PM,17.5,5,SY9341593887,26.8,2.1,None,No_pollinators_recorded,SiteA
6,14/07/2021,1,PM,17.5,6,SY9319793898,26.9,1.1,Moth,Cannot_ID_moth,SiteA
7,14/07/2021,1,PM,17.5,7,SY9318893893,30.3,0,None,No_pollinators_recorded,SiteA
8,14/07/2021,1,PM,17.5,8,SY9318193881,29.6,0.7,None,No_pollinators_recorded,SiteA
9,14/07/2021,1,PM,17.5,9,SY9315293840,29.9,0,Butterfly,Large_white,SiteA
10,14/07/2021,1,PM,17.5,9,SY9315293840,29.9,0,Butterfly,Meadow_brown,SiteA
11,14/07/2021,1,PM,17.5,9,SY9315293840,29.9,0,Moth,Cannot_ID_moth,SiteA
12,14/07/2021,1,PM,17.5,9,SY9315293840,29.9,0,Butterfly,Meadow_brown,SiteA
13,14/07/2021,1,PM,17.5,10,SY9312893808,26.6,0,None,No_pollinators_recorded,SiteA
14,15/07/2021,1,AM,19.8,1,SY4248311292,25.4,1.9,Butterfly,Meadow_brown,SiteB
15,15/07/2021,1,AM,19.8,1,SY4248311292,25.4,1.9,Butterfly,Meadow_brown,SiteB
16,15/07/2021,1,AM,19.8,1,SY4248311292,25.4,1.9,Butterfly,Meadow_brown,SiteB
17,15/07/2021,1,AM,19.8,1,SY4248311292,25.4,1.9,Butterfly,Gatekeeper,SiteB
18,15/07/2021,1,AM,19.8,1,SY4248311292,25.4,1.9,Butterfly,Meadow_brown,SiteB
19,15/07/2021,1,AM,19.8,1,SY4248311292,25.4,1.9,Bumblebee,Garden_bumblebee,SiteB
20,15/07/2021,1,AM,19.8,1,SY4248311292,25.4,1.9,Butterfly,Marbled_white,SiteB
21,15/07/2021,1,AM,19.8,1,SY4248311292,25.4,1.9,Butterfly,Large_skipper,SiteB
22,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Hoverfly,Cannot_ID_hoverfly,SiteB
23,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Meadow_brown,SiteB
24,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Meadow_brown,SiteB
25,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Meadow_brown,SiteB
26,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Meadow_brown,SiteB
27,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Meadow_brown,SiteB
28,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Meadow_brown,SiteB
29,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Marbled_white,SiteB
30,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Meadow_brown,SiteB
31,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Butterfly,Large_skipper,SiteB
32,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Hoverfly,Cannot_ID_hoverfly,SiteB
33,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Bumblebee,Common_carder_bee,SiteB
34,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Hoverfly,Cannot_ID_hoverfly,SiteB
35,15/07/2021,1,AM,19.8,2,SY8443187646,24.2,0.8,Moth,Cannot_ID_moth,SiteB
36,15/07/2021,1,AM,19.8,3,SY8444487701,24.3,2,Butterfly,Meadow_brown,SiteB
