Index,Date,Number_Sites,Species,Number_Species,AnonymSite
0,14/07/2021,1,"['Marbled_white' 'Meadow_brown' 'Cannot_ID_hoverfly'
 'No_pollinators_recorded' 'Cannot_ID_moth' 'Large_white']",6,SiteA
1,15/07/2021,1,"['Cannot_ID_hoverfly' 'Meadow_brown' 'Buff_tailed_bumblebee' 'Gatekeeper'
 'Cannot_ID_moth' 'Ringlet' 'Large_skipper' 'Honeybee' 'Marbled_white']",9,SiteC
2,15/07/2021,1,"['Meadow_brown' 'Gatekeeper' 'Garden_bumblebee' 'Marbled_white'
 'Large_skipper' 'Cannot_ID_hoverfly' 'Common_carder_bee' 'Cannot_ID_moth'
 'Red_tailed_bumblebee' 'Buff_tailed_bumblebee' 'Ringlet' 'Peacock']",12,SiteB
3,16/07/2021,1,"['Marbled_white' 'Meadow_brown' 'Buff_or_white_tailed_bumblebee'
 'Gatekeeper' 'Cannot_ID_hoverfly' 'Cannot_ID_moth' 'Red_tailed_bumblebee'
 'Honeybee' 'Buff_tailed_bumblebee' 'Large_skipper' 'Ringlet']",11,SiteD
4,16/07/2021,1,['Meadow_brown' 'Cannot_ID_moth' 'Red_admiral' 'Marbled_white'],4,SiteE
5,19/07/2021,1,"['No_pollinators_recorded' 'Small_skipper' 'Meadow_brown' 'Cannot_ID_moth'
 'Small_white' 'Small_tortoiseshell' 'Large_white']",7,SiteG
6,19/07/2021,1,"['Cannot_ID_hoverfly' 'Small_skipper' 'Meadow_brown' 'Marbled_white'
 'Large_white' 'Gatekeeper' 'Peacock' 'Common_blue'
 'Buff_or_white_tailed_bumblebee' 'Common_carder_bee' 'Small_heath'
 'Painted_lady' 'Ringlet']",13,SiteF
7,21/07/2021,1,"['Marbled_white' 'Small_skipper' 'Meadow_brown' 'Gatekeeper' 'Ringlet'
 'Large_skipper' 'Cannot_ID_moth']",7,SiteI
8,21/07/2021,1,"['Small_skipper' 'Marbled_white' 'Meadow_brown' 'Ringlet'
 'Green_veined_white' 'Small_heath' 'Large_white' 'Cannot_ID_hoverfly'
 'Gatekeeper' 'Six_spot_burnet' 'Cannot_ID_moth' 'Common_carder_bee'
 'Peacock' 'Small_tortoiseshell']",14,SiteH
9,22/07/2021,1,"['Cannot_ID_hoverfly' 'Meadow_brown' 'Gatekeeper'
 'No_pollinators_recorded' 'Large_white' 'Buff_tailed_bumblebee'
 'Cannot_ID_moth']",7,SiteJ
10,23/07/2021,1,"['Cannot_ID_moth' 'Meadow_brown' 'Ringlet' 'Small_skipper' 'Large_white'
 'Buff_or_white_tailed_bumblebee' 'Cannot_ID_hoverfly'
 'Red_tailed_bumblebee' 'Large_skipper' 'Gatekeeper' 'Heath_bumblebee'
 'Common_carder_bee' 'Buff_tailed_bumblebee']",13,SiteK
