Index,Size_mw,Size_ha,Year,Sampling_date,Plot_ID,Treatment,Sample_ID,Lat,Long,Accuracy,Soil_temp,Plant_cover,Grasses,Rushes,Forbs,Ferns,Soil_fresh_mass,Soil_dry_mass,Soil_moisture,Soil_sample_volume,Soil_bulk_density,Soil_pH,Soil_ammonium,Soil_nitrate,AGB_grasses,AGB_forbs,AGB_rushes,Total_AGB,Site_info,AnonymSite,AnonymCompany,AnonymLocation,AnonymCounty,AnonymPostCode
0,5.0,Nil,2017,29/07/2021,ND121U,Under,121,50.330283,-4.034083,3,16.0,75,100,0,0,0,256.65,202.84,0.265282982,196.35,1.0330532209999999,5.67,1.23,60.49,7.89,Nil,Nil,7.89,Overgrown_vegetation;_rabbits_seen_on_site;_PVC_corer_used_for_soil_sampling;_last_two_control_plots_sampled_from_wildflower_meadow_south_of_small_site,SiteA,CompanyA,LocationA,CountyA,PostcodeA
1,5.0,Nil,2017,29/07/2021,ND122U,Under,122,50.329333,-4.033583,3,16.3,90,90,0,10,0,256.86,202.62,0.267693219,196.35,1.031932773,5.81,1.28,80.39,9.45,0.27,Nil,9.72,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
2,5.0,Nil,2017,29/07/2021,ND123U,Under,123,50.3286,-4.0316,3,16.3,50,100,0,0,0,338.26,271.38,0.24644410100000003,196.35,1.382123759,6.06,1.11,57.01,9.76,Nil,Nil,9.76,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
3,5.0,Nil,2017,29/07/2021,ND124U,Under,124,50.327983,-4.034033,3,16.6,95,90,0,5,5,277.89,240.95,0.153309815,196.35,1.227145404,6.55,1.85,66.79,14.92,1.3,Nil,16.22,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
4,5.0,Nil,2017,29/07/2021,ND125B,Between,125,50.3301,-4.03305,3,17.4,50,100,0,0,0,256.06,201.55,0.270453982,196.35,1.026483321,5.67,2.22,130.52,10.76,Nil,Nil,10.76,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
5,5.0,Nil,2017,29/07/2021,ND126B,Between,126,50.3296,-4.034,3,16.9,90,100,0,0,0,274.12,215.2,0.273791822,196.35,1.096002037,5.4,2.44,106.49,12.57,Nil,Nil,12.57,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
6,5.0,Nil,2017,29/07/2021,ND127B,Between,127,50.3289,-4.03145,3,16.9,80,100,0,0,0,286.53,217.21,0.31913816100000003,196.35,1.106238859,6.62,2.07,88.7,49.33,Nil,Nil,49.33,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
7,5.0,Nil,2017,29/07/2021,ND128B,Between,128,50.32775,-4.033483,3,18.6,100,30,0,70,0,206.78,157.52,0.312722194,196.35,0.8022408959999999,6.27,2.29,45.47,15.79,6.03,Nil,21.82,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
8,5.0,Nil,2017,29/07/2021,ND129C,Control,129,50.33095,-4.034,3,18.1,90,90,0,10,0,211.73,173.44,0.220767989,196.35,0.883320601,5.35,9.23,139.47,17.12,0.7,Nil,17.82,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
9,5.0,Nil,2017,29/07/2021,ND130C,Control,130,50.328583,-4.031016999999999,3,17.6,100,70,0,30,0,235.25,185.52,0.26805735199999997,196.35,0.944843392,7.24,4.02,22.3,26.14,13.94,Nil,40.08,Nil,SiteA,CompanyA,LocationA,CountyA,PostcodeA
