,AV_OC_100,AV_OC_150,AV_OC_30,AV_STK_100,AV_STK_150,AV_STK_30,AnonymSite,BIRDFOOD,BUTTLARVFOOD,B_leaf,CSM_pos,CS_SQUARE,Cwr,DATA_SOURCE,DOMIN_CONVERSION,DRAINAGE,EUCLIDEAN_DISTANCE,FERTILITY,Fg1,Fg2,GOOGLE_IMAGE_DATE,HABITAT,INCLUDED,IW,KgSughacovyr,LANDCOVER,MAP_UNIT,MN_OC_100,MN_OC_150,MN_OC_30,MN_STK_100,MN_STK_150,MN_STK_30,MX_OC_100,MX_OC_150,MX_OC_30,MX_STK_100,MX_STK_150,MX_STK_30,NAME,NOTES,N_fix,PERCENT_COVER,PREVIOUS_LAND_USE,Pollen,Precip_1,QUADRAT_ID,SITE_NUMBER,SOILSCAPE,SOLAR_EAST,SOLAR_NORTH,SS_ID,SURVEY_YEAR,Sphag_SPECIES,TEXTsubsoil textureURE_1,TREATMENT,URL,VEG_SPECIES_FINAL,VEG_SPECIES_ORIGINAL,X,Y,avgTemp_1,elev_1,topsoil texture
6127,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,Nil,Nil,Nil,Nil,242.0,n,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,65.17,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,1.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Aethusa_cynapium,Aethusa_cynapium,462000.0,202000.0,9.898630142211914,90.0,Loamy
6128,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,Nil,Nil,Nil,Nil,242.0,Nil,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,Nil,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,75.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Bare_ground,Bare_ground/litter/water/rock/mud,462000.0,202000.0,9.898630142211914,90.0,Loamy
6129,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,Nil,Nil,Nil,Nil,242.0,y,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,Nil,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,1.0,Nil,1.0,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Bromus_spp,Bromus_hordeaceus,462000.0,202000.0,9.898630142211914,90.0,Loamy
6130,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,1.0,1.0,Nil,Nil,242.0,y,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,1.44,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,1.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Capsella_bursa_pastoris,Capsella_bursa-pastoris,462000.0,202000.0,9.898630142211914,90.0,Loamy
6131,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,Nil,Nil,Nil,1.0,242.0,n,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,12.565,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,1.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Epilobium_spp,Epilobium_tetragonum,462000.0,202000.0,9.898630142211914,90.0,Loamy
6132,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,Nil,Nil,Nil,Nil,242.0,n,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,12.26,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,5.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Fallopia_convolvulus,Fallopia_convolvulus,462000.0,202000.0,9.898630142211914,90.0,Loamy
6133,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,1.0,Nil,Nil,Nil,242.0,n,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,17.06,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,1.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Persicaria_maculosa,Persicaria_maculosa,462000.0,202000.0,9.898630142211914,90.0,Loamy
6134,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,Nil,1.0,Nil,Nil,242.0,y,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,13.04,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,1.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Raphanus_spp,Raphanus_raphanistrum,462000.0,202000.0,9.898630142211914,90.0,Loamy
6135,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,1.0,Nil,Nil,Nil,242.0,n,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,3.45,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,1.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Sonchus_asper,Sonchus_asper,462000.0,202000.0,9.898630142211914,90.0,Loamy
6136,0.58,0.17,2.92,0.6,0.35,8.75,SiteA1,1.0,Nil,Nil,Nil,242.0,n,CountrysideSurvey,NO,Freely_draining,17.4642492,Lime-rich,Nil,Nil,Nil,Herb-rich_chalk_and_limestone_pastures;_lime-rich_deciduous_woodlands,YES,Nil,686.23,Arable_with_grassland_at_higher_altitude,0511a,0.29,0.1,2.05,0.6,0.0,7.54,0.71,0.5,3.9,6.39,3.29,10.79,GRADE_1,Nil,Nil,1.0,Nil,Nil,662.0,45A1,45.0,Freely_draining_lime-rich_loamy_soils,455.0,218.0,5.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=5,Taraxacum_agg,Taraxacum_agg.,462000.0,202000.0,9.898630142211914,90.0,Loamy
