,AV_OC_100,AV_OC_150,AV_OC_30,AV_STK_100,AV_STK_150,AV_STK_30,AnonymSite,BIRDFOOD,BUTTLARVFOOD,B_leaf,CSM_pos,CS_SQUARE,Cwr,DATA_SOURCE,DOMIN_CONVERSION,DRAINAGE,EUCLIDEAN_DISTANCE,FERTILITY,Fg1,Fg2,GOOGLE_IMAGE_DATE,HABITAT,INCLUDED,IW,KgSughacovyr,LANDCOVER,MAP_UNIT,MN_OC_100,MN_OC_150,MN_OC_30,MN_STK_100,MN_STK_150,MN_STK_30,MX_OC_100,MX_OC_150,MX_OC_30,MX_STK_100,MX_STK_150,MX_STK_30,NAME,NOTES,N_fix,PERCENT_COVER,PREVIOUS_LAND_USE,Pollen,Precip_1,QUADRAT_ID,SITE_NUMBER,SOILSCAPE,SOLAR_EAST,SOLAR_NORTH,SS_ID,SURVEY_YEAR,Sphag_SPECIES,TEXTsubsoil textureURE_1,TREATMENT,URL,VEG_SPECIES_FINAL,VEG_SPECIES_ORIGINAL,X,Y,avgTemp_1,elev_1,topsoil texture
1232,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,10.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Achillea_millefolium,222000.0,97000.0,Nil,Nil,Nil
1233,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,40.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Agrostis_capillaris,222000.0,97000.0,Nil,Nil,Nil
1234,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Anthoxanthum_odoratum,222000.0,97000.0,Nil,Nil,Nil
1235,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Cerastium_fontanum,222000.0,97000.0,Nil,Nil,Nil
1236,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,5.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Cirsium_arvense,222000.0,97000.0,Nil,Nil,Nil
1237,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,5.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Cynosurus_cristatus,222000.0,97000.0,Nil,Nil,Nil
1238,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,5.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Dactylis_glomerata,222000.0,97000.0,Nil,Nil,Nil
1239,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Festuca_rubra_agg.,222000.0,97000.0,Nil,Nil,Nil
1240,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Holcus_lanatus,222000.0,97000.0,Nil,Nil,Nil
1241,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,5.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Lolium_perenne,222000.0,97000.0,Nil,Nil,Nil
1242,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Lotus_corniculatus,222000.0,97000.0,Nil,Nil,Nil
1243,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Luzula_campestris/multiflora,222000.0,97000.0,Nil,Nil,Nil
1244,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Phleum_bertolonii,222000.0,97000.0,Nil,Nil,Nil
1245,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,10.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Poa_trivialis,222000.0,97000.0,Nil,Nil,Nil
1246,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Rhytidiadelphus_squarrosus,222000.0,97000.0,Nil,Nil,Nil
1247,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Rumex_acetosa,222000.0,97000.0,Nil,Nil,Nil
1248,Nil,Nil,Nil,Nil,Nil,Nil,SiteD1,Nil,Nil,Nil,Nil,47.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Unsure_which_quadrats_relate_to_which_treatment_for_the_paired_solar_site_data,Nil,1.0,Nil,Nil,Nil,9IG2,9.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,IG,Nil,Nil,Taraxacum_agg.,222000.0,97000.0,Nil,Nil,Nil
