,AV_OC_100,AV_OC_150,AV_OC_30,AV_STK_100,AV_STK_150,AV_STK_30,AnonymSite,BIRDFOOD,BUTTLARVFOOD,B_leaf,CSM_pos,CS_SQUARE,Cwr,DATA_SOURCE,DOMIN_CONVERSION,DRAINAGE,EUCLIDEAN_DISTANCE,FERTILITY,Fg1,Fg2,GOOGLE_IMAGE_DATE,HABITAT,INCLUDED,IW,KgSughacovyr,LANDCOVER,MAP_UNIT,MN_OC_100,MN_OC_150,MN_OC_30,MN_STK_100,MN_STK_150,MN_STK_30,MX_OC_100,MX_OC_150,MX_OC_30,MX_STK_100,MX_STK_150,MX_STK_30,NAME,NOTES,N_fix,PERCENT_COVER,PREVIOUS_LAND_USE,Pollen,Precip_1,QUADRAT_ID,SITE_NUMBER,SOILSCAPE,SOLAR_EAST,SOLAR_NORTH,SS_ID,SURVEY_YEAR,Sphag_SPECIES,TEXTsubsoil textureURE_1,TREATMENT,URL,VEG_SPECIES_FINAL,VEG_SPECIES_ORIGINAL,X,Y,avgTemp_1,elev_1,topsoil texture
8715,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,Nil,Nil,Nil,Nil,111.0,Nil,CountrysideSurvey,NO,Freely_draining,13.03840481,High,Nil,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,Nil,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,35.0,Nil,Nil,726.0,60A5,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Bare_ground,Bare_ground/litter/water/rock/mud,432000.0,127000.0,10.03229999542236,43.0,Loamy
8716,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,Nil,Nil,Nil,Nil,111.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,High,Nil,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,Nil,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,1.0,Nil,Nil,726.0,60A5,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Bryophyte_spp,Total_bryophyte,432000.0,127000.0,10.03229999542236,43.0,Loamy
8717,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,1.0,1.0,Nil,Nil,111.0,y,CountrysideSurvey,NO,Freely_draining,13.03840481,High,1.0,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,Nil,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,10.0,Nil,Nil,726.0,60A5,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Poa_spp,Poa_annua,432000.0,127000.0,10.03229999542236,43.0,Loamy
8718,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,1.0,Nil,Nil,Nil,111.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,High,Nil,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,74.33,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,1.0,Nil,Nil,726.0,60A5,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Senecio_vulgaris,Senecio_vulgaris,432000.0,127000.0,10.03229999542236,43.0,Loamy
8719,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,Nil,Nil,Nil,Nil,111.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,High,Nil,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,Nil,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,55.0,Nil,Nil,726.0,60A5,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Triticum_aestivum,Triticum_aestivum,432000.0,127000.0,10.03229999542236,43.0,Loamy
8720,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,Nil,Nil,Nil,Nil,111.0,y,CountrysideSurvey,NO,Freely_draining,13.03840481,High,1.0,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,Nil,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,1.0,Nil,1.0,726.0,60A6,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Alopecurus_spp,Alopecurus_myosuroides,432000.0,127000.0,10.03229999542236,43.0,Loamy
8721,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,Nil,Nil,Nil,Nil,111.0,Nil,CountrysideSurvey,NO,Freely_draining,13.03840481,High,Nil,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,Nil,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,25.0,Nil,Nil,726.0,60A6,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Bare_ground,Bare_ground/litter/water/rock/mud,432000.0,127000.0,10.03229999542236,43.0,Loamy
8722,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,Nil,Nil,Nil,Nil,111.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,High,Nil,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,Nil,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,1.0,Nil,Nil,726.0,60A6,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Bryophyte_spp,Total_bryophyte,432000.0,127000.0,10.03229999542236,43.0,Loamy
8723,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,1.0,1.0,Nil,Nil,111.0,y,CountrysideSurvey,NO,Freely_draining,13.03840481,High,1.0,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,Nil,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,1.0,Nil,Nil,726.0,60A6,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Poa_spp,Poa_annua,432000.0,127000.0,10.03229999542236,43.0,Loamy
8724,0.41,0.14,2.28,0.0,0.64,7.08,SiteF,1.0,Nil,Nil,1.0,111.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,High,Nil,Nil,Nil,Base-rich_pastures_and_deciduous_woodlands,YES,Nil,2.11,Arable_and_grassland,0571m,0.21,0.1,1.25,0.0,0.0,4.38,0.84,0.3,3.77,5.85,1.69,10.93,GRADE_3,Nil,Nil,1.0,Nil,Nil,726.0,60A6,60.0,Freely_draining_slightly_acid_but_base-rich_soils,431.0,140.0,7.0,2007.0,Nil,silty_clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=7,Polygonum_aviculare_agg,Polygonum_aviculare_agg.,432000.0,127000.0,10.03229999542236,43.0,Loamy
