,AV_OC_100,AV_OC_150,AV_OC_30,AV_STK_100,AV_STK_150,AV_STK_30,AnonymSite,BIRDFOOD,BUTTLARVFOOD,B_leaf,CSM_pos,CS_SQUARE,Cwr,DATA_SOURCE,DOMIN_CONVERSION,DRAINAGE,EUCLIDEAN_DISTANCE,FERTILITY,Fg1,Fg2,GOOGLE_IMAGE_DATE,HABITAT,INCLUDED,IW,KgSughacovyr,LANDCOVER,MAP_UNIT,MN_OC_100,MN_OC_150,MN_OC_30,MN_STK_100,MN_STK_150,MN_STK_30,MX_OC_100,MX_OC_150,MX_OC_30,MX_STK_100,MX_STK_150,MX_STK_30,NAME,NOTES,N_fix,PERCENT_COVER,PREVIOUS_LAND_USE,Pollen,Precip_1,QUADRAT_ID,SITE_NUMBER,SOILSCAPE,SOLAR_EAST,SOLAR_NORTH,SS_ID,SURVEY_YEAR,Sphag_SPECIES,TEXTsubsoil textureURE_1,TREATMENT,URL,VEG_SPECIES_FINAL,VEG_SPECIES_ORIGINAL,X,Y,avgTemp_1,elev_1,topsoil texture
4293,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,Nil,1.0,Nil,Nil,269.0,y,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,1.0,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,Nil,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,1.0,Nil,1.0,765.0,31A5,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Anthoxanthum_odoratum,Anthoxanthum_odoratum,417000.0,217000.0,9.24722957611084,189.0,Loamy
4294,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,Nil,Nil,Nil,Nil,269.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,Nil,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,Nil,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,1.0,Nil,Nil,765.0,31A5,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Bryophyte_spp,Total_bryophyte,417000.0,217000.0,9.24722957611084,189.0,Loamy
4295,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,Nil,Nil,Nil,Nil,269.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,Nil,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,Nil,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,10.0,Nil,Nil,765.0,31A5,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Triticum_aestivum,Triticum_aestivum,417000.0,217000.0,9.24722957611084,189.0,Loamy
4296,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,Nil,1.0,Nil,1.0,269.0,y,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,1.0,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,Nil,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,1.0,Nil,1.0,765.0,31IG1,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,IG,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Agrostis_spp,Agrostis_stolonifera,417000.0,217000.0,9.24722957611084,189.0,Loamy
4297,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,1.0,1.0,Nil,Nil,269.0,y,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,Nil,1.0,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,Nil,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,90.0,Nil,1.0,765.0,31IG1,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,IG,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Lolium_spp,Lolium_perenne,417000.0,217000.0,9.24722957611084,189.0,Loamy
4298,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,Nil,1.0,Nil,1.0,269.0,y,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,Nil,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,Nil,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,1.0,Nil,Nil,765.0,31IG1,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,IG,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Phleum_spp,Phleum_pratense_sens.lat.,417000.0,217000.0,9.24722957611084,189.0,Loamy
4299,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,1.0,1.0,Nil,Nil,269.0,y,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,1.0,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,Nil,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,5.0,Nil,Nil,765.0,31IG1,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,IG,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Poa_spp,Poa_pratensis_sens.lat.,417000.0,217000.0,9.24722957611084,189.0,Loamy
4300,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,1.0,Nil,Nil,1.0,269.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,Nil,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,49.66,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,1.0,Nil,Nil,765.0,31IG1,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,IG,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Ranunculus_acris,Ranunculus_acris,417000.0,217000.0,9.24722957611084,189.0,Loamy
4301,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,1.0,Nil,Nil,Nil,269.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,Nil,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,26.39,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,1.0,Nil,Nil,765.0,31IG1,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,IG,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Ranunculus_repens,Ranunculus_repens,417000.0,217000.0,9.24722957611084,189.0,Loamy
4302,0.51,0.14,3.16,0.6,0.0,9.26,SiteHH,1.0,Nil,Nil,Nil,269.0,n,CountrysideSurvey,NO,Freely_draining,13.03840481,Lime-rich,Nil,Nil,Nil,Herb-rich_Downland_and_limestone_pastures;_limestone_pavements_in_the_uplands;_Beech_hangers_and_other_lime-rich_woodlands,YES,Nil,686.23,Arable_and_grassland,0343a,0.29,0.1,2.43,0.6,0.0,7.84,0.71,0.2,3.9,5.18,0.0,10.79,GRADE_3,Nil,Nil,1.0,Nil,Nil,765.0,31IG1,31.0,Shallow_lime-rich_soils_over_chalk_or_limestone,424.0,206.0,3.0,2007.0,Nil,rock,IG,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=3,Taraxacum_agg,Taraxacum_agg.,417000.0,217000.0,9.24722957611084,189.0,Loamy
