,AV_OC_100,AV_OC_150,AV_OC_30,AV_STK_100,AV_STK_150,AV_STK_30,AnonymSite,BIRDFOOD,BUTTLARVFOOD,B_leaf,CSM_pos,CS_SQUARE,Cwr,DATA_SOURCE,DOMIN_CONVERSION,DRAINAGE,EUCLIDEAN_DISTANCE,FERTILITY,Fg1,Fg2,GOOGLE_IMAGE_DATE,HABITAT,INCLUDED,IW,KgSughacovyr,LANDCOVER,MAP_UNIT,MN_OC_100,MN_OC_150,MN_OC_30,MN_STK_100,MN_STK_150,MN_STK_30,MX_OC_100,MX_OC_150,MX_OC_30,MX_STK_100,MX_STK_150,MX_STK_30,NAME,NOTES,N_fix,PERCENT_COVER,PREVIOUS_LAND_USE,Pollen,Precip_1,QUADRAT_ID,SITE_NUMBER,SOILSCAPE,SOLAR_EAST,SOLAR_NORTH,SS_ID,SURVEY_YEAR,Sphag_SPECIES,TEXTsubsoil textureURE_1,TREATMENT,URL,VEG_SPECIES_FINAL,VEG_SPECIES_ORIGINAL,X,Y,avgTemp_1,elev_1,topsoil texture
0,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,Nil,Nil,Nil,Nil,501.0,y,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,1.0,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,Nil,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,10.0,Nil,1.0,682.0,1A1,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Alopecurus_spp,Alopecurus_geniculatus,432000.0,337000.0,9.188570022583008,85.0,Loamy
1,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,Nil,1.0,Nil,Nil,501.0,y,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,Nil,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,Nil,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,90.0,Nil,Nil,682.0,1A1,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Brassica_spp,Rape,432000.0,337000.0,9.188570022583008,85.0,Loamy
2,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,1.0,1.0,Nil,Nil,501.0,y,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,1.0,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,Nil,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,10.0,Nil,Nil,682.0,1A1,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Poa_spp,Poa_annua,432000.0,337000.0,9.188570022583008,85.0,Loamy
3,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,1.0,Nil,Nil,1.0,501.0,n,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,Nil,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,2.11,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,1.0,Nil,Nil,682.0,1A1,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Polygonum_aviculare_agg,Polygonum_aviculare_agg.,432000.0,337000.0,9.188570022583008,85.0,Loamy
4,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,1.0,Nil,Nil,Nil,501.0,n,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,Nil,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,3.32,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,1.0,Nil,Nil,682.0,1A1,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Stellaria_media,Stellaria_media,432000.0,337000.0,9.188570022583008,85.0,Loamy
5,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,Nil,1.0,Nil,Nil,501.0,y,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,Nil,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,Nil,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,100.0,Nil,Nil,682.0,1A2,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Brassica_spp,Rape,432000.0,337000.0,9.188570022583008,85.0,Loamy
6,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,Nil,Nil,Nil,1.0,501.0,n,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,Nil,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,32.375,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,10.0,Nil,Nil,682.0,1A2,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Galium_spp,Galium_aparine,432000.0,337000.0,9.188570022583008,85.0,Loamy
7,Nil,Nil,Nil,Nil,Nil,Nil,SiteK,Nil,Nil,Nil,Nil,501.0,Nil,CountrysideSurvey,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,NO,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Not_identified_to_a_high_enough_taxonomic_resolution,Nil,1.0,Nil,Nil,Nil,1A2,1.0,Nil,Nil,Nil,Nil,2007.0,Nil,Nil,A,Nil,Nil,Veronica_seedling/sp,432000.0,337000.0,Nil,Nil,Nil
8,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,Nil,1.0,Nil,Nil,501.0,y,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,Nil,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,Nil,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,80.0,Nil,Nil,682.0,1A3,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Brassica_spp,Rape,432000.0,337000.0,9.188570022583008,85.0,Loamy
9,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,1.0,1.0,Nil,Nil,501.0,y,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,Nil,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,1.44,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,1.0,Nil,Nil,682.0,1A3,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Capsella_bursa_pastoris,Capsella_bursa-pastoris,432000.0,337000.0,9.188570022583008,85.0,Loamy
10,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,1.0,Nil,Nil,1.0,501.0,n,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,Nil,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,478.1,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,10.0,Nil,Nil,682.0,1A3,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Myosotis_spp,Myosotis_arvensis,432000.0,337000.0,9.188570022583008,85.0,Loamy
11,0.0,0.0,0.0,0.0,0.0,0.0,SiteK,1.0,1.0,Nil,Nil,501.0,y,CountrysideSurvey,NO,Slightly_impeded_drainage,16.15549442,Moderate_to_high,1.0,Nil,Nil,Wide_range_of_pasture_and_woodland_types,YES,Nil,Nil,Arable_and_grassland,0572c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,URBAN,Nil,Nil,20.0,Nil,Nil,682.0,1A3,1.0,Slightly_acid_loamy_and_clayey_soils_with_impeded_drainage,417.0,331.0,8.0,2007.0,Nil,clay_loam,A,http://www.landis.org.uk/services/soilsguide/soilscapes.cfm?ssid=8,Poa_spp,Poa_annua,432000.0,337000.0,9.188570022583008,85.0,Loamy
