sitevalue,date,obsValue,polarity,subjectivity,honeyhives,sheep
SiteA,14/07/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,14/07/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,14/07/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,17/08/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,17/08/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,17/08/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,16/09/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,16/09/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,16/09/2021,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteB,17/08/2021,Grass uncut and very long everywhere,-2.80E-01,6.60E-01,No,No
SiteB,17/08/2021,"Grass cut since July visit but had grown back quite long, flowering plants were still present despite cutting",-1.60E-01,3.20E-01,No,No
SiteB,17/08/2021,"Grass seemed to be very recently cut and some strimming was going on on site, lack of flowering plants and margins appeared to be cut too",0.00E+00,3.20E-01,No,No
SiteB,15/07/2021,Grass uncut and very long everywhere,-2.80E-01,6.60E-01,No,No
SiteB,15/07/2021,"Grass cut since July visit but had grown back quite long, flowering plants were still present despite cutting",-1.60E-01,3.20E-01,No,No
SiteB,15/07/2021,"Grass seemed to be very recently cut and some strimming was going on on site, lack of flowering plants and margins appeared to be cut too",0.00E+00,3.20E-01,No,No
SiteB,17/09/2021,Grass uncut and very long everywhere,-2.80E-01,6.60E-01,No,No
SiteB,17/09/2021,"Grass cut since July visit but had grown back quite long, flowering plants were still present despite cutting",-1.60E-01,3.20E-01,No,No
SiteB,17/09/2021,"Grass seemed to be very recently cut and some strimming was going on on site, lack of flowering plants and margins appeared to be cut too",0.00E+00,3.20E-01,No,No
SiteC,16/09/2021,"Grass uncut in some fields and cut in others, very variable across the site",-1.50E-01,5.50E-01,Yes,No
SiteC,16/09/2021,Grass cut across the site with some patches left long away from the panels (mostly too small for a transect),5.00E-02,3.20E-01,Yes,No
SiteC,16/09/2021,"Grass quite consistent length across the site, some patches left long but too small for a transect",-1.00E-02,2.60E-01,Yes,No
SiteC,15/07/2021,"Grass uncut in some fields and cut in others, very variable across the site",-1.50E-01,5.50E-01,Yes,No
SiteC,15/07/2021,Grass cut across the site with some patches left long away from the panels (mostly too small for a transect),5.00E-02,3.20E-01,Yes,No
SiteC,15/07/2021,"Grass quite consistent length across the site, some patches left long but too small for a transect",-1.00E-02,2.60E-01,Yes,No
SiteC,19/08/2021,"Grass uncut in some fields and cut in others, very variable across the site",-1.50E-01,5.50E-01,Yes,No
SiteC,19/08/2021,Grass cut across the site with some patches left long away from the panels (mostly too small for a transect),5.00E-02,3.20E-01,Yes,No
SiteC,19/08/2021,"Grass quite consistent length across the site, some patches left long but too small for a transect",-1.00E-02,2.60E-01,Yes,No
SiteD,16/07/2021,"Grass uncut and long, especially in the margins",-1.80E-01,7.30E-01,No,No
SiteD,16/07/2021,Grass cut in one field but seemed uncut and long in other areas and margins,-2.20E-01,5.20E-01,No,No
SiteD,16/07/2021,"Grass was being cut as we were on site - most rows appeared to be fully mown, whereas others had a strip left in front of the panels. Areas away from panels were left longer.",1.70E-01,1.70E-01,No,No
SiteD,18/08/2021,"Grass uncut and long, especially in the margins",-1.80E-01,7.30E-01,No,No
SiteD,18/08/2021,Grass cut in one field but seemed uncut and long in other areas and margins,-2.20E-01,5.20E-01,No,No
SiteD,18/08/2021,"Grass was being cut as we were on site - most rows appeared to be fully mown, whereas others had a strip left in front of the panels. Areas away from panels were left longer.",1.70E-01,1.70E-01,No,No
SiteD,20/09/2021,"Grass uncut and long, especially in the margins",-1.80E-01,7.30E-01,No,No
SiteD,20/09/2021,Grass cut in one field but seemed uncut and long in other areas and margins,-2.20E-01,5.20E-01,No,No
SiteD,20/09/2021,"Grass was being cut as we were on site - most rows appeared to be fully mown, whereas others had a strip left in front of the panels. Areas away from panels were left longer.",1.70E-01,1.70E-01,No,No
SiteE,16/07/2021,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath",0.00E+00,7.00E-02,No,No
SiteE,16/07/2021,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath - more flowering plants (mostly daisies) than in July",3.30E-01,3.60E-01,No,No
SiteE,16/07/2021,"Grass seemed longer than in July and August, abundant open areas of daisies at the site entrance",3.00E-01,7.20E-01,No,No
SiteE,18/08/2021,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath",0.00E+00,7.00E-02,No,No
SiteE,18/08/2021,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath - more flowering plants (mostly daisies) than in July",3.30E-01,3.60E-01,No,No
SiteE,18/08/2021,"Grass seemed longer than in July and August, abundant open areas of daisies at the site entrance",3.00E-01,7.20E-01,No,No
SiteE,20/09/2021,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath",0.00E+00,7.00E-02,No,No
SiteE,20/09/2021,"Grass cut and cuttings not removed, border between fields looked unmown but could be public footpath - more flowering plants (mostly daisies) than in July",3.30E-01,3.60E-01,No,No
SiteE,20/09/2021,"Grass seemed longer than in July and August, abundant open areas of daisies at the site entrance",3.00E-01,7.20E-01,No,No
SiteF,19/07/2021,"Grass cut (but flowers beginning to grow back), areas left uncut near the entrance and front of the site",-1.00E-01,3.00E-01,No,No
SiteG,19/07/2021,"Grass grazed very short in areas, but patches left slightly longer",-6.00E-02,1.90E-01,No,Yes
SiteG,19/07/2021,"Grass grazed very short (bare ground in some areas) especially in first field, slightly longer in second field and some flowering plants ",8.00E-02,2.60E-01,No,Yes
SiteG,19/07/2021,"No sheep on site this time, although droppings and short grass suggest they had been grazing up until recently",0.00E+00,2.80E-01,No,No
SiteG,20/08/2021,"Grass grazed very short in areas, but patches left slightly longer",-6.00E-02,1.90E-01,No,Yes
SiteG,20/08/2021,"Grass grazed very short (bare ground in some areas) especially in first field, slightly longer in second field and some flowering plants ",8.00E-02,2.60E-01,No,Yes
SiteG,20/08/2021,"No sheep on site this time, although droppings and short grass suggest they had been grazing up until recently",0.00E+00,2.80E-01,No,No
SiteG,21/09/2021,"Grass grazed very short in areas, but patches left slightly longer",-6.00E-02,1.90E-01,No,Yes
SiteG,21/09/2021,"Grass grazed very short (bare ground in some areas) especially in first field, slightly longer in second field and some flowering plants ",8.00E-02,2.60E-01,No,Yes
SiteG,21/09/2021,"No sheep on site this time, although droppings and short grass suggest they had been grazing up until recently",0.00E+00,2.80E-01,No,No
SiteH,21/07/2021,"Grass uncut because of skylarks, ecologist on site to advise before cutting, relatively high abundance and diversity of flowering plants",-3.10E-01,7.50E-01,No,No
SiteH,21/07/2021,Vegetation had been cut since July visit but had partially regrown - strip cut very short in front of panels,-5.00E-02,3.40E-01,No,No
SiteH,21/07/2021,"Vegetation appeared similar to August, with some flowering plant species still present between the rows - strips had been mown in front of the panels themselves (maybe 1m wide)",-3.00E-02,2.70E-01,No,No
SiteH,24/08/2021,"Grass uncut because of skylarks, ecologist on site to advise before cutting, relatively high abundance and diversity of flowering plants",-3.10E-01,7.50E-01,No,No
SiteH,24/08/2021,Vegetation had been cut since July visit but had partially regrown - strip cut very short in front of panels,-5.00E-02,3.40E-01,No,No
SiteH,24/08/2021,"Vegetation appeared similar to August, with some flowering plant species still present between the rows - strips had been mown in front of the panels themselves (maybe 1m wide)",-3.00E-02,2.70E-01,No,No
SiteH,23/09/2021,"Grass uncut because of skylarks, ecologist on site to advise before cutting, relatively high abundance and diversity of flowering plants",-3.10E-01,7.50E-01,No,No
SiteH,23/09/2021,Vegetation had been cut since July visit but had partially regrown - strip cut very short in front of panels,-5.00E-02,3.40E-01,No,No
SiteH,23/09/2021,"Vegetation appeared similar to August, with some flowering plant species still present between the rows - strips had been mown in front of the panels themselves (maybe 1m wide)",-3.00E-02,2.70E-01,No,No
SiteI,21/07/2021,Grass not cut recently,0.00E+00,2.50E-01,No,No
SiteI,21/07/2021,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.00E-02,1.20E-01,No,No
SiteI,21/07/2021,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.00E-02,1.20E-01,No,No
SiteI,24/08/2021,Grass not cut recently,0.00E+00,2.50E-01,No,No
SiteI,24/08/2021,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.00E-02,1.20E-01,No,No
SiteI,24/08/2021,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.00E-02,1.20E-01,No,No
SiteI,23/09/2021,Grass not cut recently,0.00E+00,2.50E-01,No,No
SiteI,23/09/2021,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.00E-02,1.20E-01,No,No
SiteI,23/09/2021,"Grass seemed like it had not been cut recently but there were few flowering plants between rows, areas left longer in some margin patches (knapweed dominated)",-7.00E-02,1.20E-01,No,No
SiteJ,22/07/2021,"Grass was in the middle of being cut, in one field there was some trimming in front of the panels but in another the whole row had been cut, special amphibian areas, many frogs on site",2.60E-01,3.70E-01,No,No
SiteJ,22/07/2021,"Grass was longer than July visit but not long in any areas between the panels, very boggy",1.10E-01,3.50E-01,No,No
SiteJ,22/07/2021,"Vegetation similar to July and August, still very boggy",1.00E-01,3.50E-01,No,No
SiteJ,23/08/2021,"Grass was in the middle of being cut, in one field there was some trimming in front of the panels but in another the whole row had been cut, special amphibian areas, many frogs on site",2.60E-01,3.70E-01,No,No
SiteJ,23/08/2021,"Grass was longer than July visit but not long in any areas between the panels, very boggy",1.10E-01,3.50E-01,No,No
SiteJ,23/08/2021,"Vegetation similar to July and August, still very boggy",1.00E-01,3.50E-01,No,No
SiteJ,22/09/2021,"Grass was in the middle of being cut, in one field there was some trimming in front of the panels but in another the whole row had been cut, special amphibian areas, many frogs on site",2.60E-01,3.70E-01,No,No
SiteJ,22/09/2021,"Grass was longer than July visit but not long in any areas between the panels, very boggy",1.10E-01,3.50E-01,No,No
SiteJ,22/09/2021,"Vegetation similar to July and August, still very boggy",1.00E-01,3.50E-01,No,No
SiteK,23/07/2021,"Grass uncut, long between panels and even longer in the margins, many hedgerows running through the site",-2.00E-02,5.70E-01,No,No
SiteK,23/07/2021,"Grass uncut (? - same as July), long between panels and even longer in the margins, many hedgerows running through the site",-1.00E-02,4.60E-01,No,No
SiteK,23/07/2021,"Grass not cut recently (engineer says grass is cut twice per year), very few flowering plants anywhere on site (between rows or in margin areas)",-1.30E-01,1.90E-01,No,No
SiteK,26/08/2021,"Grass uncut, long between panels and even longer in the margins, many hedgerows running through the site",-2.00E-02,5.70E-01,No,No
SiteK,26/08/2021,"Grass uncut (? - same as July), long between panels and even longer in the margins, many hedgerows running through the site",-1.00E-02,4.60E-01,No,No
SiteK,26/08/2021,"Grass not cut recently (engineer says grass is cut twice per year), very few flowering plants anywhere on site (between rows or in margin areas)",-1.30E-01,1.90E-01,No,No
SiteK,27/09/2021,"Grass uncut, long between panels and even longer in the margins, many hedgerows running through the site",-2.00E-02,5.70E-01,No,No
SiteK,27/09/2021,"Grass uncut (? - same as July), long between panels and even longer in the margins, many hedgerows running through the site",-1.00E-02,4.60E-01,No,No
