site,date,quadrat,quadratGPS,vegetationHeight,dropDisc,speciesName,percentCover,dropdisc,weightvalue,weightunit,obsValue,polarity,subjectivity,honeyhives,sheep
SiteA,14/07/2021,1,SY9333793767,3,4,Creeping_buttercup,1,,,,,,,,
SiteA,14/07/2021,1,SY9333793767,3,4,Common_centaury,1,,,,,,,,
SiteA,14/07/2021,1,SY9333793767,3,4,Non_flowering_spp,98,,,,,,,,
SiteA,14/07/2021,2,SY9336393815,3,4,Non_flowering_spp,99,,,,,,,,
SiteA,14/07/2021,2,SY9336393815,3,4,Scarlet_pimpernel,1,,,,,,,,
SiteA,14/07/2021,3,SY9340693840,2,4,Non_flowering_spp,99,,,,,,,,
SiteA,14/07/2021,3,SY9340693840,2,4,Scarlet_pimpernel,1,,,,,,,,
SiteA,14/07/2021,4,SY9342593864,1,3,Non_flowering_spp,98,,,,,,,,
SiteA,14/07/2021,4,SY9342593864,1,3,Scarlet_pimpernel,1,,,,,,,,
SiteA,14/07/2021,4,SY9342593864,1,3,Chick_weed,1,,,,,,,,
SiteA,14/07/2021,5,SY9341593887,1,6,Chick_weed,1,,,,,,,,
SiteA,14/07/2021,5,SY9341593887,1,6,Non_flowering_spp,99,,,,,,,,
SiteA,14/07/2021,6,SY9319793898,2,5,Non_flowering_spp,100,,,,,,,,
SiteA,14/07/2021,7,SY9318893893,2,5,Non_flowering_spp,100,,,,,,,,
SiteA,14/07/2021,8,SY9318193881,1,4,Non_flowering_spp,100,,,,,,,,
SiteA,14/07/2021,9,SY9315293840,3,4,Chick_weed,2,,,,,,,,
SiteA,14/07/2021,9,SY9315293840,3,4,Non_flowering_spp,98,,,,,,,,
SiteA,14/07/2021,10,SY9312893808,1,4,Creeping_buttercup,1,,,,,,,,
SiteA,14/07/2021,10,SY9312893808,1,4,Non_flowering_spp,99,,,,,,,,
SiteA,17/08/2021,1,SY3332693768,5,5,Common_daisy,1,,,,,,,,
SiteA,17/08/2021,1,SY3332693768,5,5,Non_flowering_spp,99,,,,,,,,
SiteA,17/08/2021,2,SY9335793811,5,5,Non_flowering_spp,100,,,,,,,,
SiteA,17/08/2021,3,SY9340493839,1,3,Common_daisy,1,,,,,,,,
SiteA,17/08/2021,3,SY9340493839,1,3,Thyme_leaved_speedwell,10,,,,,,,,
SiteA,17/08/2021,3,SY9340493839,1,3,Birds_foot_trefoil,1,,,,,,,,
SiteA,17/08/2021,3,SY9340493839,1,3,Non_flowering_spp,88,,,,,,,,
SiteA,17/08/2021,4,SY9341893863,1,3,Thyme_leaved_speedwell,25,,,,,,,,
SiteA,17/08/2021,4,SY9341893863,1,3,Non_flowering_spp,75,,,,,,,,
SiteA,17/08/2021,5,SY9340993887,1,3,Thyme_leaved_speedwell,30,,,,,,,,
SiteA,17/08/2021,5,SY9340993887,1,3,Non_flowering_spp,70,,,,,,,,
SiteA,17/08/2021,6,SY9319093896,2,5,Thyme_leaved_speedwell,1,,,,,,,,
SiteA,17/08/2021,6,SY9319093896,2,5,Scarlet_pimpernel,1,,,,,,,,
SiteA,17/08/2021,6,SY9319093896,2,5,Non_flowering_spp,98,,,,,,,,
SiteA,17/08/2021,7,SY9319193889,2,4,Scarlet_pimpernel,1,,,,,,,,
SiteA,17/08/2021,7,SY9319193889,2,4,Non_flowering_spp,99,,,,,,,,
SiteA,17/08/2021,8,SY9317993882,1,4,Birds_foot_trefoil,5,,,,,,,,
SiteA,17/08/2021,8,SY9317993882,1,4,Scarlet_pimpernel,2,,,,,,,,
SiteA,17/08/2021,8,SY9317993882,1,4,Non_flowering_spp,93,,,,,,,,
SiteA,17/08/2021,9,SY9315293840,3,6,Thyme_leaved_speedwell,15,,,,,,,,
SiteA,17/08/2021,9,SY9315293840,3,6,Scarlet_pimpernel,1,,,,,,,,
SiteA,17/08/2021,9,SY9315293840,3,6,Birds_foot_trefoil,10,,,,,,,,
SiteA,17/08/2021,9,SY9315293840,3,6,Non_flowering_spp,74,,,,,,,,
SiteA,17/08/2021,10,SY9312693812,2,5,Dandelion,1,,,,,,,,
SiteA,17/08/2021,10,SY9312693812,2,5,Non_flowering_spp,99,,,,,,,,
SiteA,16/09/2021,1,SY9331993768,5,6,Thyme_leaved_speedwell,1,,,,,,,,
SiteA,16/09/2021,1,SY9331993768,5,6,Non_flowering_spp,99,,,,,,,,
SiteA,16/09/2021,2,SY9334793811,4,4,Thyme_leaved_speedwell,3,,,,,,,,
SiteA,16/09/2021,2,SY9334793811,4,4,Non_flowering_spp,97,,,,,,,,
SiteA,16/09/2021,3,SY9339493839,1,3,Non_flowering_spp,100,,,,,,,,
SiteA,16/09/2021,4,SY9341893863,4,4,Non_flowering_spp,100,,,,,,,,
SiteA,16/09/2021,5,SY9340493885,4,4,Chick_weed,1,,,,,,,,
SiteA,16/09/2021,5,SY9340493885,4,4,Non_flowering_spp,99,,,,,,,,
SiteA,16/09/2021,6,SY9320593890,6,7,Non_flowering_spp,100,,,,,,,,
SiteA,16/09/2021,7,SY9319393895,8,6,Non_flowering_spp,100,,,,,,,,
SiteA,16/09/2021,8,SY9318493879,4,6,Non_flowering_spp,100,,,,,,,,
SiteA,16/09/2021,9,SY9315293843,2,3,Non_flowering_spp,100,,,,,,,,
SiteA,16/09/2021,10,SY9314393827,3,5,Non_flowering_spp,98,,,,,,,,
SiteA,16/09/2021,10,SY9314393827,3,5,Creeping_buttercup,2,,,,,,,,
SiteA,,,,,,,,https://www.lancaster.ac.uk/pg/nundloll/SolarPark/PollinatorData#DropDisc,1.20E+01,kg,,,,,
SiteA,,,,,,,,https://www.lancaster.ac.uk/pg/nundloll/SolarPark/PollinatorData#DropDisc,1.20E+01,kg,,,,,
SiteA,,,,,,,,https://www.lancaster.ac.uk/pg/nundloll/SolarPark/PollinatorData#DropDisc,1.20E+01,kg,,,,,
SiteA,14/07/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,14/07/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,14/07/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,17/08/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,17/08/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,17/08/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,16/09/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,16/09/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
SiteA,16/09/2021,,,,,,,,,,"Grass grazed very short, areas outside of fenced boundary looked a lot more diverse but unknown if this belongs to the solar park",1.00E-01,3.80E-01,No,Yes
