site,method,specieslist,speciescount
SiteB,Transect,Marbled_white,12
SiteB,Transect,Meadow_brown,12
SiteB,Transect,Cannot_ID_hoverfly,12
SiteB,Transect,Cannot_ID_moth,12
SiteB,Transect,Buff_tailed_bumblebee,12
SiteB,Transect,Gatekeeper,12
SiteB,Transect,Ringlet,12
SiteB,Transect,Large_skipper,12
SiteB,Transect,Garden_bumblebee,12
SiteB,Transect,Common_carder_bee,12
SiteB,Transect,Red_tailed_bumblebee,12
SiteB,Transect,Peacock,12
SiteB,Transect,Meadow_brown,5
SiteB,Transect,Cannot_ID_hoverfly,5
SiteB,Transect,Cannot_ID_moth,5
SiteB,Transect,Common_carder_bee,5
SiteB,Transect,Common_blue,5
SiteB,Transect,Cannot_ID_hoverfly,4
SiteB,Transect,No_pollinators_recorded,4
SiteB,Transect,Red_admiral,4
SiteB,Transect,Small_white,4
