site,method,specieslist,speciescount
SiteB,Quadrat,Creeping_buttercup,5
SiteB,Quadrat,Non_flowering_spp,5
SiteB,Quadrat,White_clover,5
SiteB,Quadrat,Red_clover,5
SiteB,Quadrat,Hawkbit_spp,5
SiteB,Quadrat,Creeping_buttercup,7
SiteB,Quadrat,Non_flowering_spp,7
SiteB,Quadrat,White_clover,7
SiteB,Quadrat,Red_clover,7
SiteB,Quadrat,Hawkbit_spp,7
SiteB,Quadrat,Birds_foot_trefoil,7
SiteB,Quadrat,Dandelion,7
SiteB,Quadrat,Non_flowering_spp,1
SiteB,Transect,Marbled_white,12
SiteB,Transect,Meadow_brown,12
SiteB,Transect,Cannot_ID_hoverfly,12
SiteB,Transect,Cannot_ID_moth,12
SiteB,Transect,Buff_tailed_bumblebee,12
SiteB,Transect,Gatekeeper,12
SiteB,Transect,Ringlet,12
SiteB,Transect,Large_skipper,12
SiteB,Transect,Garden_bumblebee,12
SiteB,Transect,Common_carder_bee,12
SiteB,Transect,Red_tailed_bumblebee,12
SiteB,Transect,Peacock,12
SiteB,Transect,Meadow_brown,5
SiteB,Transect,Cannot_ID_hoverfly,5
SiteB,Transect,Cannot_ID_moth,5
SiteB,Transect,Common_carder_bee,5
SiteB,Transect,Common_blue,5
SiteB,Transect,Cannot_ID_hoverfly,4
SiteB,Transect,No_pollinators_recorded,4
SiteB,Transect,Red_admiral,4
SiteB,Transect,Small_white,4
